title	year	avg_rating	#votes	genres	runtime_min	id
Grass: A Nation's Battle for Life	1925	7.8	887	Documentary	71	0015873
Greed	1924	8.1	8518	Drama,Thriller,Western	140	0015881
Lady Windermere's Fan	1925	7.3	928	Comedy	120	0016004
Lady of the Night	1925	6.7	523	Drama,Romance	70	0016005
Lazybones	1925	7.2	457	Action,Comedy,Drama	80	0016013
Little Annie Rooney	1925	6.7	859	Comedy,Drama	94	0016028
The Little Colonel	1935	7.1	1293	Comedy,Family,Musical	81	0016029
The Lost World	1925	7.0	4356	Adventure,Fantasy,Sci-Fi	106	0016039
The Merry Widow	1925	7.3	2063	Drama,Romance	137	0016104
The Monster	1925	6.2	882	Comedy,Horror,Mystery	86	0016123
Paths to Paradise	1925	6.8	118	Comedy,Crime,Romance	78	0016205
The Phantom of the Opera	1925	7.6	15651	Horror	93	0016220
The Pleasure Garden	1925	6.0	1983	Drama,Romance	75	0016230
The Red Kimona	1925	6.5	239	Biography,Drama,Romance	77	0016276
Sally of the Sawdust	1925	6.6	465	Comedy	104	0016308
Stella Dallas	1925	7.2	223	Drama	110	0016395
Tumbleweeds	1925	6.5	517	Western	78	0016461
The Unholy Three	1925	7.2	1563	Crime,Drama,Romance	86	0016473
The Vanishing American	1925	6.8	282	Western	110	0016480
Variety	1925	7.4	876	Crime,Drama,Romance	72	0016481
Faces of Children	1925	7.7	673	Drama,Mystery,Romance	114	0016491
A Woman of the World	1925	6.9	114	Comedy,Drama	70	0016548
Bardelys the Magnificent	1926	7.0	995	Drama,Romance	90	0016627
The Bat	1926	6.5	651	Mystery,Thriller	86	0016629
Battling Butler	1926	7.1	2572	Comedy	77	0016630
Beau Geste	1926	7.0	319	Action,Adventure,Drama	101	0016634
Ben-Hur: A Tale of the Christ	1925	7.8	6930	Adventure,Drama,Romance	143	0016641
The Black Pirate	1926	7.1	1598	Action,Adventure	88	0016654
The Blackbird	1926	6.8	601	Crime,Drama,Romance	86	0016655
La Bohème	1926	7.3	1410	Drama,Romance	95	0016669
Brown of Harvard	1926	6.2	1382	Action,Drama,Romance	85	0016690
Don Juan	1926	7.0	691	Adventure,Romance	110	0016804
The Duchess of Buffalo	1926	7.2	69	Comedy,Romance	75	0016812
Ella Cinders	1926	6.6	865	Comedy,Romance	75	0016822
Exit Smiling	1926	6.9	389	Comedy,Romance	77	0016832
Faust	1926	8.1	13117	Drama,Fantasy,Horror	107	0016847
Fig Leaves	1926	6.4	195	Comedy	70	0016854
Flesh and the Devil	1926	7.7	3774	Drama,Romance	112	0016884
Kid Boots	1926	6.9	122	Comedy,Romance	77	0017028
Kiki	1926	6.6	393	Comedy	108	0017029
A Page of Madness	1926	7.4	2517	Drama,Horror	70	0017048
Maciste in Hell	1925	6.8	387	Action,Drama,Fantasy	95	0017096
The Magician	1926	6.8	514	Drama,Fantasy,Horror	83	0017103
Mantrap	1926	6.8	298	Comedy	86	0017119
Mare Nostrum	1926	6.8	305	Drama,War	102	0017120
Mother	1926	7.5	2289	Drama	89	0017128
Metropolis	1927	8.3	149942	Drama,Sci-Fi	153	0017136
The Adventures of the Three Reporters	1926	6.9	247	Adventure,Comedy,Crime	250	0017159
The Scarlet Letter	1926	7.7	1442	Drama	115	0017350
The Show-Off	1926	6.8	241	Comedy,Drama	82	0017382
Sparrows	1926	7.3	1111	Drama	110	0017423
The Strong Man	1926	6.7	734	Comedy	75	0017437
The Man Who Cheated Life	1926	7.0	539	Drama,Horror	110	0017438
Tartuffe	1925	7.1	1799	Drama	74	0017448
The Temptress	1926	7.0	1038	Drama,Romance	117	0017449
3 Bad Men	1926	7.5	952	Romance,Western	92	0017463
Torrent	1926	6.9	678	Drama,Romance	88	0017480
West Point	1927	6.5	1694	Drama,Romance,Sport	95	0017534
What Price Glory	1926	6.8	337	Comedy,Drama,War	116	0017540
The Winning of Barbara Worth	1926	7.1	601	Drama,Romance,Western	89	0017567
The Beloved Rogue	1927	6.9	684	Adventure,Drama,History	99	0017667
Captain Salvation	1927	6.8	224	Drama,Romance	87	0017735
The Cat and the Canary	1927	7.1	2548	Comedy,Horror,Mystery	108	0017739
Chicago	1927	7.1	354	Comedy,Crime,Drama	118	0017750
When Boys Leave Home	1927	6.2	1943	Adventure,Drama,Thriller	80	0017825
Easy Virtue	1928	5.7	2365	Romance,Thriller	80	0017843
The Gaucho	1927	7.0	265	Adventure,Romance	115	0017918
Fanny Hawthorne	1927	7.2	227	Drama,Romance	120	0017998
It	1927	7.3	2792	Comedy,Romance	72	0018033
The Jazz Singer	1927	6.5	8436	Drama,Music,Musical	88	0018037
The Kid Brother	1927	7.7	3581	Comedy,Drama,Family	82	0018051
The King of Kings	1927	7.3	1794	Biography,Drama,History	155	0018054
The End of St. Petersburg	1927	7.3	1389	Drama	85	0018066
The Love of Jeanne Ney	1927	7.3	624	Drama,Romance	104	0018087
Mockery	1927	6.7	376	Drama,Romance	75	0018166
Mr. Wu	1927	6.4	522	Drama,Romance	91	0018179
My Best Girl	1927	7.4	752	Comedy,Romance	80	0018183
Napoleon	1927	8.1	6451	Biography,Drama,History	240	0018192
October (Ten Days that Shook the World)	1927	7.4	6521	Drama,History	142	0018217
Old San Francisco	1927	6.4	283	Drama,History,Romance	88	0018218
The Red Mill	1927	6.6	1330	Comedy,Romance	74	0018311
The Ring	1927	6.2	2949	Drama,Romance,Sport	116	0018328
7th Heaven	1927	7.7	2919	Drama,Romance	110	0018379
The Show	1927	6.9	487	Crime,Drama	76	0018397
Spring Fever	1927	6.0	829	Comedy	78	0018440
The Student Prince in Old Heidelberg	1927	7.6	1276	Drama,Romance	106	0018451
Sunrise	1927	8.1	44640	Drama,Romance	94	0018455
Tell It to the Marines	1926	6.9	1407	Comedy,Drama,Romance	103	0018471
Two Arabian Knights	1927	6.7	838	Adventure,Comedy,Romance	92	0018515
Uncle Tom's Cabin	1927	6.7	358	Drama,History	144	0018524
Underworld	1927	7.6	2341	Crime,Drama,Film-Noir	80	0018526
When a Man Loves	1927	6.8	277	History,Romance	111	0018566
Wings	1927	7.5	10535	Action,Drama,Romance	144	0018578
Across to Singapore	1928	6.0	895	Drama,Romance	85	0018618
Beggars of Life	1928	7.5	896	Adventure,Drama	100	0018684
Pandora's Box	1929	7.9	9176	Crime,Drama,Romance	109	0018737
The Cameraman	1928	8.1	9546	Comedy,Drama,Family	76	0018742
Champagne	1928	5.6	1847	Comedy	86	0018756
The Circus	1928	8.2	24017	Comedy,Romance	72	0018773
The Cossacks	1928	6.5	605	Drama	92	0018795
The Crowd	1928	8.1	7016	Drama,Romance	98	0018806
The Docks of New York	1928	7.5	3656	Crime,Drama,Film-Noir	76	0018839
The Farmer's Wife	1928	5.9	2315	Comedy,Drama,Romance	100	0018876
The Four Feathers	1929	6.9	255	Adventure,Drama,Romance	81	0018908
Four Sons	1928	7.1	583	Drama,War	100	0018909
The Garden of Eden	1928	6.8	322	Comedy,Drama	79	0018927
A Lady of Chance	1928	6.9	388	Comedy,Drama,Romance	78	0019067
The Last Command	1928	8.0	3082	Drama,History,Romance	88	0019071
Laugh, Clown, Laugh	1928	7.6	1636	Drama	73	0019074
The Man Who Laughs	1928	7.7	5296	Drama,Horror,Mystery	110	0019130
The Mating Call	1928	6.8	331	Drama	72	0019152
The Mysterious Lady	1928	7.3	1131	Drama,Romance	96	0019195
Our Dancing Daughters	1928	6.8	1413	Drama	85	0019237
The Passion of Joan of Arc	1928	8.1	42822	Biography,Drama,History	110	0019254
The Patsy	1928	7.4	2296	Comedy,Drama,Romance	78	0019258
Storm Over Asia	1928	7.1	1670	Drama,War	127	0019286
The Racket	1928	6.7	1018	Crime,Drama,Film-Noir	84	0019304
Sadie Thompson	1928	7.2	2436	Drama	97	0019344
Show People	1928	7.6	3380	Comedy,Romance	83	0019379
The Singing Fool	1928	6.3	199	Drama,Musical	105	0019388
Speedy	1928	7.7	3019	Action,Comedy,Family	85	0019412
Spies	1928	7.6	2923	Romance,Thriller	178	0019415
Steamboat Bill, Jr.	1928	7.9	12138	Action,Comedy,Drama	70	0019421
Street Angel	1928	7.4	2021	Drama	102	0019429
Tempest	1928	6.8	315	Drama,Romance	102	0019451
The Trail of '98	1928	6.9	326	Action,Adventure,Drama	87	0019489
Underground	1928	7.3	391	Drama,Romance	84	0019509
Weary River	1929	6.1	365	Drama,Romance	86	0019557
The Wedding March	1928	7.5	1425	Drama	113	0019558
White Shadows in the South Seas	1928	6.9	723	Drama,Romance	88	0019574
The Wind	1928	8.1	5686	Drama,Romance,Western	95	0019585
A Woman of Affairs	1928	7.3	1323	Drama	98	0019591
Alibi	1929	5.9	613	Crime	91	0019630
Applause	1929	7.0	1226	Drama,Musical	80	0019644
L'Argent	1928	7.7	783	Drama,Romance	195	0019646
Asphalt	1929	7.4	1299	Drama,Romance	90	0019655
Big News	1929	5.4	178	Comedy,Crime,Mystery	75	0019690
Blackmail	1929	7.0	8994	Crime,Film-Noir,Thriller	85	0019702
Broadway	1929	6.2	332	Crime,Musical	104	0019725
The Broadway Melody	1929	5.7	6020	Drama,Musical,Romance	100	0019729
Bulldog Drummond	1929	6.4	785	Drama,Mystery,Thriller	90	0019735
The Canary Murder Case	1929	6.1	502	Crime,Drama,Mystery	82	0019745
The Cocoanuts	1929	7.0	6676	Comedy,Musical	96	0019777
Condemned!	1929	6.4	316	Drama	86	0019785
Coquette	1929	5.9	1918	Drama,Romance	76	0019788
The Dance of Life	1929	6.5	246	Drama,Musical,Romance	115	0019798
Disraeli	1929	6.2	931	Biography,Drama,History	90	0019823
The Divine Lady	1928	6.3	618	Drama,History,Romance	99	0019824
Dynamite	1929	7.0	360	Drama	129	0019843
Eternal Love	1929	6.9	419	Drama,Romance	71	0019852
The Flying Fleet	1929	6.7	231	Adventure,Drama,Romance	100	0019886
Woman in the Moon	1929	7.3	2777	Comedy,Drama,Romance	156	0019901
Glorifying the American Girl	1929	5.9	588	Comedy,Drama,Musical	95	0019933
The Godless Girl	1928	7.2	666	Drama	113	0019935
Gold Diggers of Broadway	1929	6.7	135	Comedy,Musical	101	0019936
The Great Gabbo	1929	6.1	658	Drama,Musical,Romance	92	0019946
Hallelujah	1929	6.8	1465	Drama,Musical	109	0019959
The Hollywood Revue of 1929	1929	6.0	1778	Musical	130	0019993
In Old Arizona	1928	5.6	831	Romance,Western	95	0020018
The Iron Mask	1929	7.1	1093	Adventure,Drama,History	95	0020030
It's a Great Life	1929	6.1	262	Comedy,Musical,Romance	93	0020034
Laila	1929	7.3	209	Drama,Romance	165	0020075
The Last Warning	1928	6.7	413	Horror,Mystery,Thriller	89	0020080
The Locked Door	1929	6.0	408	Drama,Mystery,Thriller	74	0020103
The Love Parade	1929	7.1	1829	Comedy,Musical,Romance	107	0020112
The Love Trap	1929	6.5	162	Comedy	71	0020114
Lucky Star	1929	7.8	1093	Drama,Romance	100	0020122
Madame X	1929	6.0	396	Drama	95	0020126
The Manxman	1929	6.2	2424	Drama,Romance	110	0020142
Marianne	1929	6.2	1137	Drama,Musical,Romance	111	0020143
People on Sunday	1930	7.4	2534	Comedy,Drama,Romance	73	0020163
The Mysterious Island	1929	6.1	546	Adventure,Romance,Sci-Fi	95	0020198
New York Nights	1929	5.8	133	Crime,Drama	82	0020217
Noah's Ark	1928	6.5	634	Drama,War	135	0020223
On with the Show!	1929	6.0	229	Musical,Romance	104	0020238
Our Modern Maidens	1929	6.1	563	Comedy,Drama	76	0020247
The Pagan	1929	6.9	305	Drama	83	0020253
Piccadilly	1929	7.2	1257	Crime,Drama	92	0020269
Queen Kelly	1932	7.2	2995	Drama	101	0020298
Rio Rita	1929	6.1	677	Adventure,Music,Romance	140	0020332
Chasing Rainbows	1930	6.0	197	Comedy,Drama,Musical	96	0020336
Sally	1929	6.0	280	Musical	103	0020358
Show Boat	1929	6.1	234	Drama,Musical,Romance	147	0020402
Show of Shows	1929	5.9	323	Musical	128	0020403
The Single Standard	1929	6.7	458	Drama,Romance	73	0020410
Spite Marriage	1929	7.0	1699	Comedy	76	0020442
Street Girl	1929	6.1	335	Drama,Musical,Romance	87	0020458
Sunnyside Up	1929	6.5	346	Comedy,Musical	121	0020466
Diary of a Lost Girl	1929	7.9	3832	Drama	104	0020475
The Thirteenth Chair	1929	5.8	440	Drama,Mystery	72	0020492
Thunderbolt	1929	6.6	477	Crime,Drama,Film-Noir	85	0020499
The Virginian	1929	6.8	618	Romance,Western	91	0020556
