title	year	avg_rating	#votes	genres	runtime_min	id
Mighty Morphin Power Rangers: The Movie	1995	5.2	24131	Action,Adventure,Family	95	0113820
Whisper of the Heart	1995	8.0	42693	Animation,Drama,Family	111	0113824
Money Train	1995	5.7	37316	Action,Comedy,Crime	110	0113845
Mortal Kombat	1995	5.8	96221	Action,Adventure,Fantasy	101	0113855
Mr. Holland's Opus	1995	7.3	34150	Drama,Music	143	0113862
Murder in the First	1995	7.3	25356	Drama,Thriller	122	0113870
The Net	1995	5.9	57810	Action,Crime,Drama	114	0113957
Nick of Time	1995	6.3	37493	Action,Crime,Drama	90	0113972
Nine Months	1995	5.5	33939	Comedy,Romance	103	0113986
Nixon	1995	7.1	27560	Biography,Drama,History	192	0113987
Now and Then	1995	6.8	25822	Comedy,Drama,Romance	100	0114011
Othello	1995	6.9	8707	Drama,Romance	123	0114057
Outbreak	1995	6.6	102906	Action,Drama,Thriller	127	0114069
The Pillow Book	1996	6.7	11886	Drama	126	0114134
Pocahontas	1995	6.7	159066	Adventure,Animation,Drama	81	0114148
Powder	1995	6.6	27564	Drama,Fantasy,Mystery	111	0114168
The Prophecy	1995	6.5	27779	Action,Crime,Drama	98	0114194
The Quick and the Dead	1995	6.4	80706	Action,Romance,Thriller	107	0114214
Rangeela	1995	7.5	8540	Comedy,Drama,Musical	142	0114234
Restoration	1995	6.6	8590	Biography,Drama,History	117	0114272
Richard III	1995	7.4	13171	Drama,Sci-Fi,War	110	0114279
Rob Roy	1995	6.9	39133	Adventure,Biography,Drama	139	0114287
Sabrina	1995	6.3	34802	Comedy,Drama,Romance	127	0114319
Safe	1995	7.2	11738	Drama	119	0114323
The Scarlet Letter	1995	5.3	13818	Drama,Romance	135	0114345
Screamers	1995	6.4	23894	Horror,Sci-Fi,Thriller	108	0114367
Se7en	1995	8.6	1342867	Crime,Drama,Mystery	127	0114369
Sense and Sensibility	1995	7.6	95493	Drama,Romance	136	0114388
Showgirls	1995	4.8	58839	Drama	128	0114436
Smoke	1995	7.4	31918	Comedy,Drama	112	0114478
Something to Talk About	1995	5.7	12155	Comedy,Drama,Romance	106	0114496
Species	1995	5.8	70941	Action,Horror,Sci-Fi	108	0114508
Strange Days	1995	7.2	64030	Action,Crime,Drama	145	0114558
Sudden Death	1995	5.8	30675	Action,Crime,Thriller	111	0114576
Swimming with Sharks	1994	7.1	21221	Comedy,Crime	93	0114594
Tales from the Crypt: Demon Knight	1995	6.7	20132	Action,Fantasy,Horror	92	0114608
Tank Girl	1995	5.3	28874	Action,Comedy,Sci-Fi	104	0114614
Things to Do in Denver When You're Dead	1995	6.8	25155	Crime,Drama,Thriller	115	0114660
Land and Freedom	1995	7.6	9687	Drama,War	109	0114671
To Die For	1995	6.8	41414	Comedy,Crime,Drama	106	0114681
To Wong Foo Thanks for Everything, Julie Newmar	1995	6.6	26627	Comedy,Drama	109	0114682
Tommy Boy	1995	7.1	72640	Adventure,Comedy	97	0114694
Total Eclipse	1995	6.6	12647	Biography,Drama,Romance	111	0114702
Toy Story	1995	8.3	832305	Adventure,Animation,Comedy	81	0114709
12 Monkeys	1995	8.0	551324	Mystery,Sci-Fi,Thriller	129	0114746
Under Siege 2: Dark Territory	1995	5.5	41999	Action,Thriller	100	0114781
Underground	1995	8.1	52241	Comedy,Drama,War	170	0114787
The Usual Suspects	1995	8.5	936523	Crime,Mystery,Thriller	106	0114814
Vampire in Brooklyn	1995	4.6	20533	Comedy,Fantasy,Horror	100	0114825
Village of the Damned	1995	5.6	27267	Horror,Sci-Fi,Thriller	98	0114852
Virtuosity	1995	5.6	26779	Action,Crime,Sci-Fi	106	0114857
Waiting to Exhale	1995	5.9	9000	Comedy,Drama,Romance	124	0114885
A Walk in the Clouds	1995	6.7	30067	Drama,Romance	102	0114887
Waterworld	1995	6.2	171640	Action,Adventure,Sci-Fi	135	0114898
Welcome to the Dollhouse	1995	7.4	30541	Comedy,Drama	88	0114906
While You Were Sleeping	1995	6.7	86728	Comedy,Drama,Romance	103	0114924
101 Dalmatians	1996	5.7	95862	Adventure,Comedy,Crime	103	0115433
2 Days in the Valley	1996	6.5	17755	Comedy,Crime,Thriller	104	0115438
The Apartment	1996	7.4	13091	Drama,Mystery,Romance	116	0115561
The Arrival	1996	6.3	30348	Sci-Fi,Thriller	115	0115571
Barb Wire	1996	3.3	24018	Action,Sci-Fi	98	0115624
Basquiat	1996	6.9	18660	Biography,Drama	107	0115632
Beautiful Girls	1996	7.1	30301	Comedy,Drama,Romance	112	0115639
Beautiful Thing	1996	7.5	21743	Comedy,Drama,Romance	90	0115640
Beavis and Butt-Head Do America	1996	6.8	49555	Adventure,Animation,Comedy	81	0115641
Big Night	1996	7.3	15930	Drama,Romance	109	0115678
Bio-Dome	1996	4.4	25032	Comedy	88	0115683
The Birdcage	1996	7.1	75220	Comedy	117	0115685
Black Mask	1996	6.1	10710	Action,Adventure,Comedy	99	0115693
Black Sheep	1996	6.3	34929	Comedy	87	0115697
Blood and Wine	1996	6.0	8837	Crime,Drama,Thriller	101	0115710
Bottle Rocket	1996	7.0	65940	Comedy,Crime,Drama	91	0115734
Bound	1996	7.3	48233	Crime,Romance,Thriller	109	0115736
Brassed Off	1996	7.1	17763	Comedy,Drama,Romance	108	0115744
Breaking the Waves	1996	7.9	59006	Drama	159	0115751
Broken Arrow	1996	6.0	87443	Action,Adventure,Thriller	108	0115759
Bulletproof	1996	5.8	33769	Action,Comedy,Crime	84	0115783
The Cable Guy	1996	6.1	145085	Comedy,Drama,Thriller	96	0115798
Cannibal! The Musical	1993	7.1	11364	Biography,Comedy,Musical	95	0115819
Chain Reaction	1996	5.7	46301	Action,Drama,Sci-Fi	107	0115857
The Chamber	1996	6.0	12158	Crime,Drama,Thriller	113	0115862
City Hall	1996	6.2	18845	Drama,Thriller	111	0115907
Courage Under Fire	1996	6.6	48032	Action,Drama,Mystery	116	0115956
The Craft	1996	6.3	71105	Drama,Fantasy,Horror	101	0115963
Crash	1996	6.4	48953	Drama	100	0115964
The Crow: City of Angels	1996	4.7	18432	Action,Crime,Fantasy	84	0115986
The Crucible	1996	6.8	33826	Drama,History	124	0115988
D3: The Mighty Ducks	1996	5.4	23276	Action,Comedy,Drama	104	0116000
Daylight	1996	5.9	63078	Action,Adventure,Drama	114	0116040
Diabolique	1996	5.5	12788	Drama,Horror,Mystery	107	0116095
Don't Be a Menace to South Central While Drinking Your Juice in the Hood	1996	6.6	45777	Comedy,Crime	89	0116126
Down Periscope	1996	6.1	20080	Comedy	92	0116130
DragonHeart	1996	6.5	88057	Action,Adventure,Fantasy	103	0116136
Dunston Checks In	1996	5.3	11377	Adventure,Comedy,Family	88	0116151
Emma	1996	6.6	33829	Comedy,Drama,Romance	120	0116191
The English Patient	1996	7.4	170054	Drama,Romance,War	162	0116209
Eraser	1996	6.1	99479	Action,Drama,Thriller	115	0116213
Escape from L.A.	1996	5.7	66099	Action,Adventure,Sci-Fi	101	0116225
The Bandit	1996	8.3	58281	Crime,Drama,Thriller	128	0116231
Everyone Says I Love You	1996	6.7	34127	Comedy,Musical,Romance	101	0116242
Evita	1996	6.3	32760	Biography,Drama,History	135	0116250
Executive Decision	1996	6.4	48158	Action,Adventure,Thriller	133	0116253
Extreme Measures	1996	6.2	16357	Crime,Drama,Mystery	118	0116259
Eye for an Eye	1996	6.2	12582	Crime,Drama,Thriller	101	0116260
The Fan	1996	5.9	44408	Action,Drama,Sport	116	0116277
Fargo	1996	8.1	579979	Crime,Drama,Thriller	98	0116282
Fear	1996	6.2	38168	Drama,Thriller	97	0116287
Feeling Minnesota	1996	5.4	10178	Comedy,Crime,Drama	99	0116289
The First Wives Club	1996	6.4	40161	Comedy	103	0116313
Flipper	1996	5.3	9661	Adventure,Family	95	0116322
Flirting with Disaster	1996	6.7	16989	Comedy	92	0116324
Fly Away Home	1996	6.8	22504	Adventure,Drama,Family	107	0116329
Freeway	1996	6.8	25221	Comedy,Crime,Drama	102	0116361
The Frighteners	1996	7.1	78655	Comedy,Fantasy,Horror	110	0116365
From Dusk Till Dawn	1996	7.2	272045	Action,Crime,Horror	108	0116367
The Ghost and the Darkness	1996	6.8	53893	Adventure,Drama,Thriller	110	0116409
Ghosts of Mississippi	1996	6.7	9680	Drama,History	130	0116410
The Glimmer Man	1996	5.4	18020	Action,Comedy,Crime	91	0116421
The Great White Hype	1996	5.5	8151	Comedy,Sport	91	0116448
Hamlet	1996	7.7	34814	Drama	242	0116477
Happy Gilmore	1996	7.0	185872	Comedy,Sport	92	0116483
Harriet the Spy	1996	5.9	9227	Comedy,Drama,Family	100	0116493
Hellraiser: Bloodline	1996	5.2	18212	Horror,Sci-Fi	85	0116514
High School High	1996	5.5	12215	Comedy,Crime,Romance	86	0116531
Homeward Bound II: Lost in San Francisco	1996	5.9	12956	Adventure,Comedy,Family	88	0116552
The Eighth Day	1996	7.6	8596	Comedy,Drama	118	0116581
The Hunchback of Notre Dame	1996	6.9	132782	Animation,Drama,Family	91	0116583
Independence Day	1996	7.0	507296	Action,Adventure,Sci-Fi	145	0116629
Indian	1996	8.1	9569	Action,Drama,Thriller	185	0116630
The Island of Dr. Moreau	1996	4.5	29749	Horror,Sci-Fi,Thriller	96	0116654
Jack	1996	5.8	53864	Comedy,Drama,Fantasy	113	0116669
James and the Giant Peach	1996	6.7	57429	Adventure,Animation,Family	79	0116683
Jane Eyre	1996	6.8	8666	Drama,Romance	112	0116684
Jerry Maguire	1996	7.3	228686	Comedy,Drama,Romance	139	0116695
First Strike	1996	6.6	18094	Action,Adventure,Comedy	107	0116704
Jingle All the Way	1996	5.6	87439	Comedy,Family	89	0116705
Joe's Apartment	1996	5.4	12104	Comedy,Fantasy,Musical	80	0116707
Jude	1996	6.9	9616	Drama,Romance	123	0116722
The Juror	1996	5.7	16221	Crime,Drama,Thriller	118	0116731
Kama Sutra: A Tale of Love	1996	6.0	9532	Crime,Drama,History	117	0116743
Kingpin	1996	6.9	73591	Comedy,Sport	114	0116778
Kolya	1996	7.8	13860	Comedy,Drama,Music	105	0116790
Last Man Standing	1996	6.4	51273	Action,Crime,Drama	101	0116830
Pretty Village, Pretty Flame	1996	8.7	13679	Comedy,Drama,History	115	0116860
Lone Star	1996	7.4	26790	Drama,Mystery	135	0116905
The Long Kiss Goodnight	1996	6.8	69670	Action,Crime,Drama	121	0116908
Lost Highway	1997	7.6	122561	Mystery,Thriller	134	0116922
Mars Attacks!	1996	6.3	201512	Comedy,Sci-Fi	106	0116996
Marvin's Room	1996	6.7	24236	Drama	98	0116999
Mary Reilly	1996	5.8	13520	Drama,Horror,Romance	108	0117002
Matilda	1996	6.9	117310	Comedy,Family,Fantasy	98	0117008
Maximum Risk	1996	5.5	19182	Action,Romance,Thriller	101	0117011
Michael	1996	5.7	39291	Comedy,Drama,Fantasy	105	0117038
Michael Collins	1996	7.2	28230	Biography,Drama,Thriller	133	0117039
Microcosmos	1996	7.9	10389	Documentary	80	0117040
The Mirror Has Two Faces	1996	6.6	14369	Comedy,Drama,Romance	126	0117057
Mission: Impossible	1996	7.1	368684	Action,Adventure,Thriller	110	0117060
Mulholland Falls	1996	6.3	15106	Crime,Drama,Mystery	107	0117107
Multiplicity	1996	6.1	28704	Comedy,Romance,Sci-Fi	117	0117108
Muppet Treasure Island	1996	7.0	20033	Action,Adventure,Comedy	99	0117110
My Fellow Americans	1996	6.5	13647	Adventure,Comedy	101	0117119
Mystery Science Theater 3000: The Movie	1996	7.3	17335	Comedy,Sci-Fi	73	0117128
The Nutty Professor	1996	5.6	104780	Comedy,Romance,Sci-Fi	95	0117218
One Fine Day	1996	6.5	41456	Comedy,Drama,Romance	108	0117247
Paradise Lost: The Child Murders at Robin Hood Hills	1996	8.3	14282	Crime,Documentary,Drama	150	0117293
The People vs. Larry Flynt	1996	7.3	84391	Biography,Drama	130	0117318
The Phantom	1996	4.9	31143	Action,Adventure,Comedy	100	0117331
Phenomenon	1996	6.4	72239	Drama,Fantasy,Romance	123	0117333
The Portrait of a Lady	1996	6.2	10310	Drama,Romance	144	0117364
The Preacher's Wife	1996	5.6	10498	Comedy,Drama,Fantasy	123	0117372
Primal Fear	1996	7.7	170762	Crime,Drama,Mystery	129	0117381
Pusher	1996	7.4	32343	Crime,Thriller	110	0117407
The Quest	1996	5.6	23013	Action,Adventure,Drama	95	0117420
Ransom	1996	6.6	113677	Action,Crime,Thriller	121	0117438
Robinson Crusoe	1997	5.9	11326	Adventure,Drama	105	0117496
The Rock	1996	7.4	299852	Action,Adventure,Thriller	136	0117500
Romeo + Juliet	1996	6.7	200666	Drama,Romance	120	0117509
Scream	1996	7.2	270499	Horror,Mystery	111	0117571
Secrets & Lies	1996	8.0	34750	Drama	136	0117589
Set It Off	1996	6.9	13052	Action,Crime,Drama	123	0117603
Sgt. Bilko	1996	5.9	20632	Comedy	93	0117608
Shall We Dance?	1996	7.7	10157	Comedy,Drama,Music	136	0117615
She's the One	1996	6.0	15748	Comedy,Drama,Romance	96	0117628
Shine	1996	7.7	49441	Biography,Drama,Music	105	0117631
Sleepers	1996	7.6	179230	Crime,Drama,Thriller	147	0117665
Sling Blade	1996	8.0	83727	Drama	135	0117666
Space Jam	1996	6.4	147801	Adventure,Animation,Comedy	88	0117705
Spy Hard	1996	5.4	34808	Action,Comedy	81	0117723
Star Trek: First Contact	1996	7.6	112965	Action,Adventure,Drama	111	0117731
Stealing Beauty	1996	6.6	24530	Drama,Mystery,Romance	118	0117737
Striptease	1996	4.5	41016	Comedy,Crime,Drama	115	0117765
The Substitute	1996	6.0	11261	Action,Crime,Drama	114	0117774
Mr. Nice Guy	1997	6.2	24061	Action,Comedy,Crime	88	0117786
Swingers	1996	7.2	72418	Comedy,Drama	96	0117802
